from,to,weight
PLA,SPD,2
"POF
",CDU,2
"POF
",IND,3
PRA,WIS,3
TIL,CDU,2
HAS,SOZ,3
HAS,CSU,2
"KAM
",CDU,2
"KAM
",VERB,2
KAP,VERB,3
KAP,FDP,2
KEM,VERB,3
NEM,IND,2
REI,VERB,3
REI,CDU,1
ROE,EGU,3
ROE,IND,2
SCH,VERB,3
GRO,UWS,1
WOD,CDU,1
WOD,REV,1
HER,REV,1
HER,POL,2
KRE,CDU,1
KRE,REV,2
PRI,GRU,1
PRI,REV,2
VAS,GWS,3
VAS,SPD,2
SCHN,GWS,3
SCHN,SPD,2
SCHN,EGU,2
KOE,GWS,3
KOE,SPD,2
KAI,UWS,3
WEI,UWS,3
WEI,POL,2
NIE,UWS,3
NIE,WIS,1
ALL,WIS,3
MAT,WIS,2
MAT,UWS,2
SCHE,WIS,3
SCHE,UWS,2
NIEB,WIS,2
WEH,WIS,3
LAE,CDU,2
LEN,CSU,2
"MIE
",SPD,2
